District,groundwater_current,rainfall,temperature,major_crop,water_usage
Amritsar,16.48,745,24.2,Paddy,High
Amritsar,16.48,745,24.2,Wheat,Medium
Barnala,38.65,502,25.4,Paddy,High
Barnala,38.65,502,25.4,Wheat,Medium
Bathinda,18.66,425,26.1,Cotton,Medium
Bathinda,18.66,425,26.1,Wheat,Medium
Faridkot,7.95,484,25.8,Cotton,Medium
Faridkot,7.95,484,25.8,Paddy,High
Fatehgarh Sahib,22.84,828,24.7,Paddy,High
Fatehgarh Sahib,22.84,828,24.7,Sugarcane,High
Fazilka,4.88,527,26.0,Cotton,Medium
Fazilka,4.88,527,26.0,Kinnow (Citrus),Medium
Ferozepur,14.54,390,25.5,Paddy,High
Ferozepur,14.54,390,25.5,Wheat,Medium
Gurdaspur,8.87,977,23.1,Paddy,High
Gurdaspur,8.87,977,23.1,Sugarcane,High
Hoshiarpur,19.34,881,23.5,Maize,Low
Hoshiarpur,19.34,881,23.5,Sugarcane,High
Jalandhar,27.56,756,24.8,Potato,Low
Jalandhar,27.56,756,24.8,Paddy,High
Kapurthala,18.84,997,24.6,Paddy,High
Kapurthala,18.84,997,24.6,Sugarcane,High
Ludhiana,20.31,730,24.5,Paddy,High
Ludhiana,20.31,730,24.5,Wheat,Medium
Ludhiana,20.31,730,24.5,Sugarcane,High
Mansa,16.59,518,26.3,Cotton,Medium
Mansa,16.59,518,26.3,Wheat,Medium
Moga,29.56,643,25.2,Paddy,High
Moga,29.56,643,25.2,Wheat,Medium
Muktsar,3.32,382,25.9,Cotton,Medium
Muktsar,3.32,382,25.9,Paddy,High
Nawanshahr (SBS),22.18,818,24.3,Sugarcane,High
Nawanshahr (SBS),22.18,818,24.3,Maize,Low
Pathankot,7.42,1087,22.9,Paddy,High
Pathankot,7.42,1087,22.9,Litchi/Fruits,Medium
Patiala,31.54,844,24.9,Paddy,High
Patiala,31.54,844,24.9,Wheat,Medium
Rupnagar,10.96,1134,22.8,Maize,Low
Rupnagar,10.96,1134,22.8,Wheat,Medium
SAS Nagar,28.53,997,24.1,Maize,Low
SAS Nagar,28.53,997,24.1,Paddy,High
Sangrur,36.32,616,25.6,Paddy,High
Sangrur,36.32,616,25.6,Wheat,Medium
Tarn Taran,23.35,766,24.4,Paddy,High
Tarn Taran,23.35,766,24.4,Wheat,Medium
